Sample_name,image_url,image_url2,image_url3,latitude,longitude,elevation_approx,notes,Traverse,rock_type,rock_description,original_dms,original_elevation,nm_notes
GMT-5f,76.5075,0.0625,14.5625,0.7475,0,1.375,3,3.74,0,,,,
GT-0,76.658,0.062,13.422,0.856,0,0.504,4.198,4.302,0,,,,
GT-1,76.552,0.01,12.924,0.932,0,0.498,4.868,4.216,0,,,,
GT-11,74.676,0.064,14.018,1.096,0,0.586,5.166,4.392,0,,,,
GT-14,73.74,0.162,14.562,1.27,0,0.962,4.99,4.292,0.024,,,,
GT-2,76.168,0.016,13.366,0.628,0,0.432,4.898,4.374,0.118,,,,
GT-3,75.554,0.042,13.646,0.766,0,0.51,5.172,4.31,0,,,,
GT-4,75.2525,0.0725,13.6975,0.6,0,0.395,6.0625,3.9225,0,,,,
GT-7,75.482,0.044,14.022,0.836,0,0.548,4.552,4.516,0,,,,
GT-9,57.86,1.024,17.786,6.396,3.394,8.168,3.884,1.482,0,,,,
SG-1,77.768,0.016,12.918,0.374,0,0.242,4.038,4.558,0.088,,,,
SG-3,76.584,0.04,13.266,0.672,0,0.376,4.24,4.824,0,,,,
SG-5,76.08,0.044,13.334,1.018,0,0.408,4.424,4.696,0,,,,
ST-4,73.33,0.2,15.31,1.59,0,0.96,4.79,3.83,0,,,,
ST-5,52.35,1.21,15.61,10.57,9.26,7.02,2.87,1.06,0.05,,,,
VF-1,71.318,0.258,15.358,2.564,0,1.846,4.836,3.818,0,,,,
VF-11,50.196,1.984,17.328,10.234,6.634,6.748,4.36,1.878,0.64,,,,
VF-14,51.77,1.324,16.104,9.436,10.848,7.012,2.734,0.77,0,,,,
VF-16,56.218,1.498,18.258,7.168,3.63,7.704,4.114,1.386,0.026,,,,
VF-2,55.62,1.796,18.354,7.502,2.632,6.504,5.042,2.15,0.396,,,,
VF-3,54.692,1.132,14.94,7.442,8.824,8.572,2.914,1.48,0,,,,
VF-6,55.204,2.26,18.678,7.588,2.032,5.898,5.572,1.802,0.96,,,,
VF-9,51.36,2.246,18.6,9.036,4.718,7.962,4.042,1.44,0.594,,,,
VG-3,74.924,0.062,13.646,1.052,0,0.564,5.774,3.9,0.082,,,,
VG-5,74.528,0.064,14.132,1.17,0,0.638,4.998,4.464,0,,,,
VG-8,71.214,0.292,15.21,2.366,0,1.622,5.542,3.752,0,,,,
